model	objective	gene	status	value
./iJR904.xml	obj	G_b0721	optimal	0.8733015758879393
./iJR904.xml	obj	G_b0722	optimal	0.8733015758879352
./iJR904.xml	obj	G_b0723	optimal	0.8733015758879555
./iJR904.xml	obj	G_b0724	optimal	0.8733015758879248
./iJR904.xml	obj	G_b0726	optimal	0.9061290519890358
./iJR904.xml	obj	G_b0727	optimal	0.9061290519890401
./iJR904.xml	obj	G_b0728	optimal	0.9104503188689812
./iJR904.xml	obj	G_b0729	optimal	0.910450318868977
./iJR904.xml	obj	G_b0733	optimal	0.9219480950504655
./iJR904.xml	obj	G_b0734	optimal	0.9219480950504755
./iJR904.xml	obj	G_b0750	optimal	-5.951480146532629e-13
./iJR904.xml	obj	G_b0751	optimal	0.9219480950504675
./iJR904.xml	obj	G_b0754	optimal	0.9219480950504672
./iJR904.xml	obj	G_b0755	optimal	0.9219480950504578
./iJR904.xml	obj	G_b0757	optimal	0.9219480950504695
./iJR904.xml	obj	G_b0758	optimal	0.9219480950504602
./iJR904.xml	obj	G_b0759	optimal	0.9219480950504676
./iJR904.xml	obj	G_b0774	optimal	0.9219480950505113
./iJR904.xml	obj	G_b0775	optimal	0.9219480950504781
./iJR904.xml	obj	G_b0776	optimal	0.9219480950504774
./iJR904.xml	obj	G_b0778	optimal	0.921948095050456
./iJR904.xml	obj	G_b0809	optimal	0.921948095050463
./iJR904.xml	obj	G_b0810	optimal	0.9219480950504709
./iJR904.xml	obj	G_b0811	optimal	0.9219480950505644
./iJR904.xml	obj	G_b0825	optimal	0.9219480950504686
./iJR904.xml	obj	G_b0828	optimal	0.9219480950504686
./iJR904.xml	obj	G_b0854	optimal	0.921948095050466
./iJR904.xml	obj	G_b0855	optimal	0.921948095050455
./iJR904.xml	obj	G_b0856	optimal	0.921948095050455
./iJR904.xml	obj	G_b0857	optimal	0.9219480950504778
./iJR904.xml	obj	G_b0860	optimal	0.9219480950504633
./iJR904.xml	obj	G_b0861	optimal	0.9219480950504755
./iJR904.xml	obj	G_b0862	optimal	0.9219480950504615
./iJR904.xml	obj	G_b0864	optimal	0.921948095050476
./iJR904.xml	obj	G_b0870	optimal	0.9219480950504778
./iJR904.xml	obj	G_b0871	optimal	0.921948095050476
./iJR904.xml	obj	G_b0888	optimal	-2.1367390510679897e-15
./iJR904.xml	obj	G_b0894	optimal	0.9219480950504677
./iJR904.xml	obj	G_b0895	optimal	0.9219480950504725
./iJR904.xml	obj	G_b0896	optimal	0.9219480950504616
./iJR904.xml	obj	G_b0902	optimal	0.9219480950504672
./iJR904.xml	obj	G_b0903	optimal	0.9219480950504724
./iJR904.xml	obj	G_b0904	optimal	0.9219480950504675
./iJR904.xml	obj	G_b0907	optimal	1.0172375674715765e-14
./iJR904.xml	obj	G_b0908	optimal	-2.781679125245846e-13
./iJR904.xml	obj	G_b0910	optimal	0.9190775763993645
./iJR904.xml	obj	G_b0915	optimal	-4.770683778065529e-16
