model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
Human-GEM.xml	obj	MAR00188	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00189	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00190	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00191	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00192	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00193	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00194	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00195	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00196	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00197	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00198	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00199	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00200	187.35363	optimal	-386.936029	1000.0	1.0
Human-GEM.xml	obj	MAR00201	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00202	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00203	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00204	187.35363	optimal	-386.936029	1000.0	1.0
Human-GEM.xml	obj	MAR00205	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00206	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00207	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00208	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00209	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00210	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00211	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00212	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00213	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00214	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00215	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00216	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00217	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00218	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00219	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00220	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00221	187.35363	optimal	-386.536029	1000.0	1.0
Human-GEM.xml	obj	MAR00222	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00223	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00224	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00225	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00226	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00227	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00228	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00229	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00230	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00231	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00232	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00233	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00234	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00235	187.35363	optimal	0.0	386.536029	1.0
