model	objective	reaction	status	value
VvuMBEL943_2022.xml	obj	R_R203	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R204	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R205	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R206	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R207	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R208	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R209	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R210	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R211	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R212	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R213	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R214	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R215	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R216	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R217	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R218	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R219	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R220	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R221	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R222	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R223	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R224	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R225	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R226	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R227	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R228	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R229	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R230	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R231	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R232	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R233	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R234	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R235	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R236	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R237	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R238	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R239	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R240	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R241	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R242	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R243	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R244	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R245	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R246	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R247	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R248	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R249	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R250	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R251	optimal	96.402322
